ts,event,symbol,rr,win,cvd_sign
"2026-03-08T00:00:00.000Z","ENTRY_L1","ETH","-0.0002","false",""
"2026-03-08T00:15:00.000Z","ENTRY_L2","ETH","0.0006","true",""
"2026-03-08T19:15:00.000Z","ENTRY_L2","ETH","-0.0163","false",""
"2026-03-08T19:15:00.000Z","ENTRY_L1","ETH","-0.0154","false",""
"2026-03-10T21:15:00.000Z","ENTRY_L1","ETH","-0.0083","false",""
"2026-03-10T21:30:00.000Z","ENTRY_L2","ETH","-0.0037","false",""
"2026-03-17T12:30:00.000Z","ENTRY_L1","ETH","-0.003","false",""
"2026-03-17T12:45:00.000Z","ENTRY_L2","ETH","-0.0006","false",""
"2026-03-20T09:45:00.000Z","ENTRY_L1","ETH","-0.004","false",""
"2026-03-20T10:30:00.000Z","ENTRY_L2","ETH","0.008199999999999999","true",""
"2026-03-20T10:30:00.000Z","ENTRY_L2","ETH","-0.0023","false",""
"2026-03-20T11:00:00.000Z","ENTRY_L3","ETH","0.0166","true",""
"2026-03-20T11:00:00.000Z","ENTRY_L3","ETH","0.0129","true",""
"2026-03-29T03:15:00.000Z","ENTRY_L2","ETH","0.0054","true",""
"2026-03-29T03:15:00.000Z","ENTRY_L1","ETH","0.0055000000000000005","true",""
"2026-03-31T15:00:00.000Z","ENTRY_L2","ETH","-0.0177","false",""
"2026-03-31T15:00:00.000Z","ENTRY_L1","ETH","-0.0296","false",""
"2026-04-03T21:00:00.000Z","ENTRY_L2","ETH","0.001","true",""
"2026-04-03T21:00:00.000Z","ENTRY_L1","ETH","0.0007000000000000001","true",""
"2026-04-05T17:00:00.000Z","ENTRY_L2","ETH","-0.006999999999999999","false",""
"2026-04-05T17:00:00.000Z","ENTRY_L1","ETH","-0.0087","false",""
"2026-04-09T16:30:00.000Z","ENTRY_L1","ETH","0.0168","true",""
"2026-04-10T01:15:00.000Z","ENTRY_L2","ETH","0.0285","true",""
"2026-04-13T07:30:00.000Z","ENTRY_L1","ETH","0.08449999999999999","true",""
"2026-04-13T07:45:00.000Z","ENTRY_L2","ETH","0.08449999999999999","true",""
"2026-04-16T07:45:00.000Z","ENTRY_L2","ETH","-0.015700000000000002","false",""
"2026-04-16T07:45:00.000Z","ENTRY_L1","ETH","-0.0144","false",""
"2026-04-20T11:00:00.000Z","ENTRY_L1","ETH","0.0069","true",""
"2026-04-20T14:45:00.000Z","ENTRY_L2","ETH","0.012199999999999999","true",""
"2026-04-21T23:45:00.000Z","ENTRY_L1","ETH","0.0296","true",""
"2026-04-24T13:45:00.000Z","ENTRY_L1","ETH","0","false",""
"2026-04-24T14:00:00.000Z","ENTRY_L2","ETH","0.0005","true",""
